pdb,lifesoaks_1d,lifesoaks_2d,lifesoaks_3d,lifesoaks_mc,lifesoaks_sc,lifesoaks_time,mapchannels_1d,mapchannels_2d,mapchannels_3d,mapchannels_mc,mapchannels_sc,mapchannels_time,unit_cell_atom
2c4l,14.9121,14.9121,14.9121,2.74591,0.550398,765,14.70,14.70,14.70,2.83,0.57,3294,152016
2c58,32.3355,8.18088,8.18088,4.22179,0.707573,152,32.50,7.90,7.90,4.21,0.71,191,25680
2c79,7.98685,5.03827,5.03827,2.19528,0.437627,47,7.50,4.70,4.50,2.07,0.41,16,12696
2cad,10.083,7.71895,7.71895,2.69688,0.542224,132,9.70,7.50,7.30,2.41,0.49,103,25848
2caj,11.6528,9.27472,9.27472,2.74616,0.550439,133,11.10,8.70,8.70,2.47,0.50,113,25968
2cek,31.2636,5.94616,5.94616,4.06951,0.69663,120,31.70,7.70,7.70,4.10,0.70,166,25806
2cix,10.372,8.87184,5.56159,3.00138,0.588666,81,11.90,9.70,6.50,3.29,0.63,53,20232
2ciy,11.8351,9.24838,5.52478,3.10106,0.601889,85,12.30,10.30,6.70,3.40,0.64,62,20232
2ciz,10.4944,9.07018,5.70947,3.04888,0.595075,82,12.10,10.10,6.50,3.32,0.63,60,20144
2dqm,23.6077,12.4144,12.4144,3.62879,0.659786,205,22.90,12.10,12.10,3.61,0.66,353,41694
2ehq,8.77328,8.77328,6.34498,2.46742,0.499651,453,8.50,8.50,6.10,2.46,0.50,807,72684
2ei7,6.83988,6.61336,6.61336,2.58555,0.522513,31,6.50,6.10,6.10,2.58,0.52,10,8992
2eiw,8.59725,8.59725,5.68872,2.37818,0.480877,459,8.50,8.30,5.30,2.38,0.48,740,72684
2ej6,8.69342,8.69342,5.91513,2.39721,0.484998,412,8.50,8.30,5.70,2.39,0.49,780,72684
2ejl,8.69897,8.69897,6.0594,2.45269,0.496647,457,8.90,8.70,5.50,2.45,0.50,834,72702
2ewm,2.62906,2.31477,2.31477,1.95977,0.370044,139,2.30,2.30,2.30,1.89,0.35,76,28960
2f7i,8.34471,3.75477,2.55069,2.40427,0.486511,27,8.10,3.70,3.50,2.17,0.43,6,7012
2f8i,8.60275,3.70681,2.47859,2.39636,0.484815,27,8.30,3.50,2.30,2.14,0.43,6,6968
2f9c,12.4835,12.0442,12.0442,3.15118,0.608221,186,12.50,11.70,11.70,3.00,0.59,291,39720
2fak,18.1138,15.0602,14.7359,3.8357,0.678137,719,17.70,14.90,14.70,3.84,0.68,2219,99336
2fe1,9.53179,3.86809,3.86809,2.52039,0.510169,63,9.10,3.70,3.70,2.06,0.40,20,12300
2fh6,10.3845,10.3845,4.83148,2.78956,0.557433,128,10.10,7.90,4.50,2.38,0.48,108,28224
2flc,10.34,6.59852,6.59852,2.90155,0.574514,133,9.70,6.50,6.50,2.90,0.59,157,29292
2fy4,5.80447,5.1577,4.93818,2.55148,0.516137,94,5.50,5.10,4.50,2.46,0.50,39,18424
2fy5,7.74171,5.32619,4.97148,2.63496,0.531465,81,6.30,5.30,4.70,2.49,0.51,41,18056
2fzn,21.0515,12.3078,8.46003,3.79567,0.674743,124,20.70,12.10,8.30,2.85,0.57,150,28152
2g06,23.9145,5.38235,5.38235,3.04704,0.594831,73,23.70,5.10,4.90,3.04,0.60,32,13956
2g07,23.5957,4.99804,4.99804,3.05304,0.595626,73,23.30,4.70,4.70,3.05,0.60,32,13956
2g08,24.0577,4.75795,4.75795,3.07082,0.597969,74,24.10,4.30,4.30,3.06,0.60,35,13956
2g09,23.7156,5.31852,5.31852,3.02674,0.592113,74,23.70,4.90,4.70,3.02,0.59,32,13956
2g0a,24.0234,5.0015,5.0015,3.06217,0.596832,68,23.70,4.70,4.30,3.05,0.60,34,13956
2g2p,3.79417,3.79417,3.49767,2.25515,0.452556,28,3.70,3.30,3.30,2.21,0.44,6,7236
2g5u,8.62337,3.06269,2.18863,2.42091,0.490039,22,8.30,3.10,2.90,2.18,0.44,6,7024
2g94,7.93092,6.86979,6.86979,2.86954,0.569768,129,7.50,6.70,5.30,2.87,0.57,77,24424
2g9k,8.60278,2.74779,2.34175,2.36201,0.477324,26,8.10,2.50,2.30,2.15,0.43,6,7080
2gab,8.66362,3.7531,2.41344,2.49689,0.505557,22,8.30,3.30,2.30,2.23,0.45,6,6948
2gue,4.50258,4.05609,3.11745,2.09081,0.409528,24,4.10,3.90,3.10,2.08,0.41,6,7192
2ho7,14.1669,6.29049,4.16477,2.86327,0.568826,53,13.90,6.10,3.90,2.73,0.70,21,12384
2hol,6.66504,4.4959,4.4959,2.46954,0.500081,46,5.90,4.10,3.90,2.35,0.65,15,10158
2i4z,7.41963,7.41824,3.63372,2.60448,0.525982,99,7.10,7.10,3.50,2.47,0.50,38,17328
2i5r,2.34962,2.30056,2.30056,1.91143,0.354113,42,2.10,1.90,1.90,1.84,0.33,12,11328
2icx,4.25225,4.01404,3.76057,2.45123,0.496347,195,4.10,3.90,2.90,2.39,0.49,83,28444
2icy,4.49423,3.86251,3.5583,1.21891,-0.0128437,295,4.30,4.30,2.70,2.39,0.49,162,57312
2if8,40.4489,7.7624,7.7624,4.1673,0.703749,124,43.70,7.50,7.30,2.98,0.59,152,25044
2il4,4.51307,4.00684,3.29546,2.55285,0.516396,4,4.10,4.10,2.90,2.24,0.45,1,1456
2imp,28.0276,11.2362,11.2362,3.09983,0.60173,225,28.30,9.70,9.70,3.09,0.60,364,43992
2ine,3.75407,3.68851,2.93669,2.15698,0.427639,33,3.50,3.50,2.50,2.15,0.43,10,10048
2inz,3.68372,3.45852,2.9218,2.1577,0.427831,34,3.30,3.10,2.30,2.16,0.43,10,10068
2ipw,4.75505,3.82208,3.13278,2.18132,0.434026,32,4.30,3.50,2.90,2.14,0.43,10,9896
2iq0,3.62427,3.52233,2.91963,2.15836,0.428007,34,3.30,3.30,2.30,2.15,0.43,10,10048
2iqd,3.64536,3.51326,2.89252,2.15737,0.427744,33,3.30,3.30,2.30,2.16,0.43,11,10068
2is7,3.47208,3.28581,2.94361,2.16454,0.429639,34,3.30,3.30,2.30,2.16,0.43,11,10064
2isf,3.57307,3.57281,2.86229,2.16496,0.42975,32,3.50,3.30,2.30,2.16,0.43,10,10036
2izi,9.11104,9.11104,9.11104,3.01493,0.590516,62,8.90,8.90,8.90,2.99,0.59,37,14560
2izj,9.76104,9.76104,9.76104,3.0316,0.592767,66,9.70,9.50,9.50,3.01,0.59,37,14560
2izk,8.76979,8.76979,8.76979,2.83731,0.56488,68,8.30,8.10,8.10,2.84,0.57,35,14688
2j07,10.5523,6.91416,6.91416,2.68756,0.540636,256,10.70,6.30,6.10,2.68,0.54,238,40716
2j08,11.5581,6.72906,6.72906,2.68756,0.540636,268,11.10,6.10,5.90,2.68,0.54,267,40716
2j09,10.5897,6.87786,6.87786,2.67633,0.538709,266,11.50,6.30,6.10,2.67,0.54,272,40716
2j40,8.72329,8.72329,6.07319,2.44623,0.495318,458,8.70,8.50,5.50,2.44,0.50,824,72702
2j5n,8.07315,8.07315,6.19415,2.4735,0.500882,453,7.90,7.70,5.90,2.47,0.50,767,72684
2jbo,33.8822,33.8822,33.8822,4.99057,0.75262,1507,33.30,33.30,33.30,4.53,0.73,15009,230304
2jd7,40.1153,9.82818,9.82818,4.12191,0.700486,3088,39.50,9.90,9.70,3.97,0.69,92518,398304
2jd8,39.8906,9.8436,9.8436,4.12567,0.70076,4151,39.50,9.70,9.70,3.97,0.69,90400,398304
2jdm,5.34241,4.11461,3.5131,2.25095,0.451535,22,5.30,3.90,3.30,2.23,0.45,5,6608
2jdn,5.07365,4.05003,3.51249,2.22773,0.445819,22,5.50,3.50,3.30,2.20,0.44,5,6608
2jff,11.5594,6.6203,6.6203,3.09315,0.60087,52,11.30,10.30,10.10,3.00,0.59,29,13060
2jfh,11.8115,6.92338,6.92338,3.15126,0.608231,57,11.30,10.10,9.90,3.04,0.60,28,12980
2jkj,6.32615,6.0864,6.0864,2.67773,0.538951,122,6.10,5.70,5.50,2.46,0.50,49,18837
2jkl,6.17486,5.84326,5.84326,2.67719,0.538858,126,5.90,5.90,5.50,2.46,0.50,48,18873
2jln,18.8547,17.9601,17.9601,4.88802,0.74743,54,18.30,17.50,17.10,4.53,0.73,64,14300
2ntr,15.5809,11.3918,3.11907,3.0155,0.590593,78,15.10,11.10,2.90,2.82,0.56,81,23832
2nun,35.6453,4.16587,4.16587,4.10576,0.699309,83,35.10,4.10,3.70,3.85,0.68,52,14364
2o7q,17.1214,5.24401,5.24401,2.83472,0.564483,122,16.70,5.10,4.70,2.74,0.55,78,23250
2o7s,17.4382,5.10885,5.10885,2.90678,0.57528,91,16.70,4.90,4.70,2.80,0.56,83,23166
2oa1,16.9391,16.9391,16.9391,3.66105,0.662783,290,16.70,16.70,16.50,3.51,0.65,587,50808
2oah,12.1123,10.8212,3.11479,3.01613,0.590678,88,11.70,10.70,3.10,2.82,0.56,75,23776
2oar,49.5082,23.6572,23.6572,8.17847,0.849047,218,49.30,23.30,23.10,5.85,0.79,812,38040
2oro,6.99908,6.51018,6.51018,2.99511,0.587806,43,6.70,6.30,5.90,2.41,0.49,16,10280
2orp,10.0372,7.41166,7.41166,3.10093,0.601872,40,9.50,7.10,6.70,2.41,0.49,16,9924
2orq,8.79153,7.59556,7.59556,3.12286,0.604668,48,8.50,7.30,6.90,2.39,0.49,15,9784
2orr,10.1014,7.61641,7.61641,3.23588,0.618475,45,9.70,7.10,6.90,2.42,0.49,16,9548
2ors,8.39171,7.82061,7.82061,3.32197,0.628363,45,8.10,7.50,7.50,2.47,0.50,16,9480
2ort,7.39125,6.96681,6.78566,3.10124,0.601912,47,6.90,6.70,6.30,2.37,0.48,15,9772
2oun,4.69485,4.05119,3.37839,2.17151,0.43147,95,4.30,3.70,2.90,2.14,0.43,50,21132
2ouq,5.05133,4.73676,3.24494,2.17806,0.43318,85,4.90,4.10,2.90,2.09,0.41,46,20580
2ouu,3.90837,3.75542,3.54623,2.0775,0.405744,89,4.10,3.30,2.70,2.01,0.39,42,20748
2ouy,4.33703,3.98015,3.27339,2.14275,0.423838,68,4.10,3.90,2.90,2.07,0.41,42,20720
2p1x,4.53002,2.79587,2.79587,2.2462,0.450375,21,3.90,2.90,2.90,2.24,0.45,4,5172
2p4j,8.02218,6.70644,6.70644,2.83114,0.563933,141,7.50,6.90,4.70,2.83,0.57,92,24424
2p8h,15.1343,11.0545,3.15831,2.99851,0.588272,100,14.70,11.10,3.10,2.81,0.56,82,23832
2pgn,10.547,8.27496,8.27496,2.18476,0.434918,372,9.70,7.90,7.90,2.17,0.44,557,71088
2ph6,15.5744,10.7055,2.9763,3.04408,0.594436,90,15.30,10.50,2.90,2.79,0.56,86,23312
2ph8,16.2824,11.2437,2.98641,3.13303,0.605951,91,15.70,10.70,2.90,2.82,0.56,85,22920
2pri,8.85941,6.72079,6.72079,2.50227,0.506621,297,8.50,6.30,5.30,2.47,0.50,352,54112
2psy,13.9467,3.86589,3.86589,3.19202,0.613233,25,13.70,5.70,5.50,3.24,0.62,9,7284
2put,7.63522,6.71037,4.40768,2.55401,0.516616,110,7.50,5.90,4.30,2.40,0.49,55,21410
2puv,7.87209,6.52474,4.66713,2.56839,0.519323,108,7.70,6.10,4.50,2.41,0.49,56,21338
2q0f,5.99416,3.87525,2.82535,2.45784,0.497702,45,4.90,4.10,3.70,2.24,0.45,12,10264
2q0g,6.79301,3.69687,3.13192,2.47588,0.501362,45,6.50,3.70,3.30,2.28,0.46,12,10348
2q1t,6.93961,6.93961,5.75506,2.50189,0.506546,42,6.70,6.70,5.50,2.21,0.44,12,10368
2q6v,28.7937,14.9137,14.9137,4.35584,0.716572,218,28.10,14.70,14.70,3.99,0.69,325,35220
2q7u,3.8266,2.73772,2.73772,2.08479,0.407821,69,3.30,2.50,2.50,1.84,0.33,26,16544
2qfe,5.74267,5.74267,5.74267,2.38214,0.48174,34,5.70,5.70,5.30,2.23,0.45,9,8712
2qtz,5.69166,5.5411,4.61988,2.6097,0.526932,34,5.30,4.50,4.30,2.18,0.44,7,7068
2qw1,15.0561,10.1307,10.1307,3.55178,0.652409,31,14.50,9.90,9.70,3.50,0.65,17,9276
2qyq,3.47114,3.07702,2.29311,2.01238,0.386515,24,2.90,2.90,2.10,2.00,0.39,4,5912
2qzk,15.2759,11.1562,3.01171,3.01719,0.590822,96,14.70,10.70,3.10,2.80,0.56,80,23624
2qzl,15.608,10.8853,3.07651,3.07121,0.59802,87,15.30,10.30,2.90,2.80,0.56,79,23576
2r0g,8.33401,5.85216,5.85216,2.73419,0.548471,63,7.70,5.90,4.10,2.59,0.53,33,16020
2r0p,7.19797,5.54765,5.54765,2.66681,0.537062,35,6.50,5.30,5.30,2.50,0.51,9,7920
2rbk,7.39102,2.75449,2.75449,2.27469,0.457259,27,6.90,2.50,2.50,2.27,0.46,7,8100
2rd6,3.03661,3.03661,2.88435,2.25863,0.4534,87,3.30,2.90,2.70,2.26,0.46,31,16512
2rfh,3.08438,2.81768,2.00926,1.8739,0.341176,14,2.90,2.70,1.90,1.87,0.34,2,4872
2rh9,8.20822,5.54519,5.09323,2.60111,0.525369,80,7.90,5.30,4.70,2.54,0.52,45,19676
2rhg,9.7936,5.82407,5.82407,2.77257,0.55472,71,9.30,5.50,5.50,2.57,0.52,44,18672
2uuo,11.7235,7.25673,7.25673,3.11423,0.603573,54,11.30,9.90,9.70,3.00,0.59,28,12948
2uup,11.7645,6.52849,6.52849,3.09445,0.601038,52,11.30,9.90,9.90,3.05,0.60,29,13256
2v2e,9.45258,9.08209,9.08209,3.09445,0.601038,32,9.10,8.90,8.70,3.06,0.60,15,9396
2v96,12.6803,9.92512,9.92512,2.89266,0.573207,127,13.10,9.70,9.70,2.87,0.57,161,34060
2v97,13.1563,9.55787,9.55787,2.92487,0.577906,138,13.30,9.50,9.30,2.90,0.58,164,34040
2v98,13.262,9.69609,9.69608,2.95351,0.581999,141,13.10,9.50,9.50,2.93,0.58,159,34040
2vb8,11.5316,7.86018,7.6104,2.55547,0.516892,222,11.30,7.50,5.30,2.54,0.52,297,47480
2vba,12.8954,7.97378,7.71602,2.57065,0.519745,225,12.90,7.50,5.70,2.56,0.52,299,47480
2vd9,5.46287,5.35642,4.01341,2.31547,0.466818,116,5.50,4.90,3.70,2.33,0.47,65,24784
2vhb,9.21286,4.87436,4.87436,2.58631,0.522653,17,8.90,4.70,1.90,2.41,0.49,3,4154
2vin,3.48193,2.83151,2.14943,2.06339,0.40168,25,3.50,3.10,1.90,2.03,0.39,6,7840
2vio,3.4789,2.7166,1.97377,2.0715,0.404022,23,3.30,2.70,2.10,2.03,0.40,6,7840
2vip,3.48481,3.01061,2.3301,2.0708,0.403821,28,3.50,2.90,2.30,2.03,0.40,6,7840
2viq,3.48445,2.56068,1.95424,2.06042,0.400818,33,3.30,2.70,1.90,2.02,0.39,6,7840
2viv,3.47717,3.0683,2.00514,2.07342,0.404573,27,3.30,2.90,1.90,2.04,0.40,6,7840
2viw,3.44709,2.6846,2.10166,2.04202,0.395419,25,3.30,2.70,1.90,2.01,0.39,6,7840
2vja,13.7329,9.40745,9.40745,3.08873,0.6003,147,13.50,9.10,9.10,3.07,0.60,168,34120
2vjb,13.7415,9.44164,9.44164,3.09582,0.601215,147,13.90,9.10,9.10,3.08,0.60,168,34120
2vjc,13.6502,9.37074,9.37074,3.08718,0.600098,143,13.50,9.10,9.10,3.07,0.60,174,34120
2vjd,13.6401,9.39421,9.39421,3.09673,0.601332,149,13.50,9.10,9.10,3.08,0.60,176,34120
2vp3,7.91288,7.91288,3.81214,2.95017,0.581526,32,7.70,6.90,3.70,2.71,0.55,15,9636
2vtd,11.7153,6.07019,6.07019,3.07007,0.597869,51,11.10,9.50,9.50,2.99,0.59,28,13116
2vte,11.1721,6.0912,6.0912,3.12912,0.605458,50,11.10,9.90,9.90,3.05,0.60,28,13096
2vuc,5.0449,4.07181,3.4494,2.22156,0.444278,24,5.30,3.50,3.30,2.22,0.45,5,6616
2vud,5.18028,3.96089,3.63473,2.28761,0.460324,24,5.50,3.90,3.50,2.29,0.46,5,6616
2vuk,8.22556,6.19759,3.47228,2.7761,0.555287,47,7.90,6.10,3.50,2.49,0.51,21,12264
2w41,7.56906,4.97124,4.55586,2.57608,0.520757,63,7.50,5.10,4.50,2.57,0.52,33,16064
2w6c,32.1809,5.88314,5.88314,4.13363,0.701335,152,32.30,7.30,7.10,3.79,0.68,152,25596
2w95,7.75689,7.49159,4.8135,2.51787,0.509677,244,7.50,7.10,4.70,2.51,0.51,277,47800
2wg2,30.4819,6.59525,6.59525,4.03281,0.693869,149,31.10,7.50,7.30,4.05,0.70,148,25836
2wyw,5.83125,4.34934,3.22642,2.0892,0.409072,78,5.70,3.90,2.90,2.07,0.41,24,15672
2x0q,4.53984,4.09786,3.58765,2.14713,0.425015,69,4.50,3.90,3.30,2.03,0.40,33,18716
2x0u,8.21011,6.19722,3.39858,2.78743,0.557095,45,7.90,6.10,3.10,2.49,0.51,20,12216
2x0v,7.98034,6.19456,3.46028,2.8053,0.559915,49,7.70,6.10,3.30,2.49,0.51,20,12156
2x0w,8.10779,6.17285,3.46611,2.77435,0.555007,49,7.90,6.10,3.30,2.48,0.50,20,12216
2x3l,4.0621,3.86439,3.54792,2.10624,0.413853,59,3.70,3.50,3.30,2.00,0.38,20,13660
2x6b,13.1768,13.1768,9.85989,3.78538,0.673859,88,13.10,13.10,9.90,3.60,0.66,66,18112
2x6c,14.2987,14.2987,13.8882,4.2529,0.709712,73,14.10,14.10,13.90,3.74,0.67,66,16744
2x6f,32.1282,10.4899,10.1053,4.21489,0.707093,420,31.70,9.90,9.50,3.37,0.64,1623,71032
2x6i,31.5405,9.85663,9.39594,4.19508,0.70571,459,30.90,9.30,9.10,3.38,0.64,1506,71392
2x6j,30.7872,10.4144,10.4144,4.11883,0.700262,439,30.10,9.90,9.90,3.31,0.63,1513,71384
2x6k,32.142,9.86724,9.86724,4.14055,0.701835,421,31.70,9.70,9.50,3.36,0.63,1153,71992
2xal,5.0714,4.19834,4.19834,2.34016,0.472442,139,4.50,4.30,4.10,2.20,0.44,84,26876
2xcu,6.84104,5.40963,3.42033,2.58083,0.521639,133,6.50,4.90,3.30,2.42,0.49,61,22976
2xgx,11.1827,9.70447,9.70447,3.68289,0.664782,69,10.70,10.30,9.10,3.53,0.65,36,13424
2xi4,13.0756,9.22185,9.22185,3.05794,0.596275,144,12.90,9.10,9.10,3.05,0.60,307,34160
2xvb,8.55685,8.16637,1.99275,2.54635,0.515162,128,8.10,7.90,2.10,2.54,0.52,100,27488
2xwy,7.01099,5.95257,3.41019,2.66432,0.53663,51,6.70,5.70,3.50,2.51,0.51,32,15796
2yc3,5.57663,5.57663,5.57663,2.43185,0.492334,168,5.10,4.90,4.70,2.32,0.47,131,30780
2yc5,5.42843,5.42843,5.42843,2.46198,0.498547,214,5.10,5.10,4.50,2.34,0.47,137,30564
2ycm,6.44037,6.44037,6.44037,2.53255,0.51252,197,6.30,6.30,5.70,2.37,0.48,161,29970
2yf3,12.3377,4.06189,4.06189,3.215,0.615998,147,11.70,3.50,3.50,3.15,0.61,187,27744
2yi9,16.3437,10.1311,6.86775,3.49201,0.646459,901,15.70,8.50,6.30,3.36,0.63,3912,121460
2ynb,8.45759,5.6154,5.6154,2.43908,0.493839,171,7.90,5.10,5.10,2.44,0.50,98,27990
2yzv,3.6678,3.39629,3.39629,2.03655,0.393796,29,3.50,3.10,2.90,1.92,0.36,8,8772
2zo5,28.3495,28.3495,28.3495,4.73956,0.739518,504,26.90,26.90,26.90,5.04,0.76,4404,107040
2zxp,7.46931,7.46931,7.46931,3.04348,0.594356,231,7.30,7.30,7.10,2.96,0.58,329,40160
2zxr,7.74037,7.74037,7.74037,3.23426,0.618284,224,7.90,7.70,7.70,2.99,0.59,326,38184
3a16,7.00758,5.0367,4.81377,2.29179,0.461309,93,6.50,4.90,4.30,2.17,0.43,51,22520
3ai3,5.36948,3.89858,3.70362,2.08909,0.40904,108,4.90,3.30,2.90,2.09,0.41,98,31824
3ak9,6.48795,6.08616,5.1583,2.30277,0.463877,312,6.10,5.70,5.10,2.15,0.43,517,59056
3b4p,6.0244,6.0244,5.5856,2.60567,0.526199,83,6.10,5.10,5.10,2.24,0.45,35,15714
3b99,6.10453,4.61093,4.61093,2.46486,0.499132,161,5.90,4.30,3.90,2.23,0.45,88,27964
3bam,8.52754,6.26038,6.26038,2.60806,0.526633,53,7.90,6.30,5.90,2.53,0.52,28,15344
3bca,12.0589,4.97306,2.55187,2.96817,0.584065,132,11.90,5.10,2.50,2.92,0.58,131,27184
3bk2,8.40876,8.01962,7.44133,2.67414,0.53833,363,8.10,7.50,6.30,2.65,0.54,658,68960
3bts,9.10201,7.57186,4.5608,2.76563,0.553604,101,9.10,7.30,4.30,2.38,0.48,80,24820
3bud,8.83602,3.5062,3.5062,2.24422,0.449889,133,9.30,3.10,2.50,2.18,0.44,122,32832
3bup,8.94463,3.43417,3.43417,2.24008,0.448872,132,9.50,2.90,2.50,2.18,0.44,116,32804
3buq,8.89825,3.39377,3.39377,2.23721,0.448165,130,9.50,2.90,2.50,2.18,0.44,116,32828
3cev,9.82627,9.82627,8.66759,2.67805,0.539005,695,9.50,9.50,6.70,2.66,0.54,1884,108864
3cfn,8.57257,2.71212,2.21815,2.36286,0.477511,20,8.30,2.50,2.50,2.29,0.46,6,7112
3cfq,8.37359,2.52865,2.47816,2.3252,0.469049,24,7.90,2.70,2.30,2.26,0.46,6,7124
3cgd,12.3022,8.81243,8.81243,3.3083,0.626827,150,12.30,8.30,8.30,3.06,0.60,130,27832
3cge,12.3356,8.68566,8.68566,3.33012,0.629272,141,12.50,8.50,8.30,3.08,0.60,129,27832
3cht,4.61694,4.3949,3.24993,2.30874,0.465263,87,4.90,3.50,2.90,2.07,0.41,41,19232
3cnm,5.97862,5.89408,5.89408,2.66861,0.537374,83,5.90,5.10,5.10,2.30,0.46,38,15714
3co9,5.01204,3.42508,3.34995,2.31448,0.466589,195,4.70,4.30,3.10,2.24,0.45,156,34936
3cog,8.48164,7.91261,7.91261,2.55197,0.516229,214,7.90,7.70,7.50,2.44,0.50,357,47676
3cow,4.80122,3.97127,3.42565,2.35249,0.475207,33,4.30,3.90,3.30,2.21,0.44,8,8334
3coy,4.77623,3.82901,3.66649,2.37294,0.47973,34,4.30,3.70,3.30,2.21,0.44,8,8266
3coz,5.00836,3.9735,3.70586,2.3592,0.476701,33,4.70,3.90,3.50,2.22,0.45,8,8360
3cv3,28.3559,14.6616,14.6616,4.36025,0.716859,217,27.70,14.50,14.30,3.99,0.69,319,35100
3cvk,4.63291,3.7583,3.3887,2.34095,0.472621,199,4.30,4.30,3.10,2.25,0.45,139,34672
3cwb,20.4801,17.4378,17.4378,4.28479,0.711872,909,20.30,17.30,17.30,4.18,0.71,4002,127636
3cwh,11.6234,8.36413,7.37126,2.85395,0.567419,111,11.90,8.10,6.90,2.84,0.57,99,24368
3d1i,28.7629,28.7629,28.7629,4.76786,0.741065,618,27.10,27.10,27.10,5.07,0.76,4290,107040
3d2t,8.47912,4.28697,2.43249,2.41164,0.488079,23,8.10,4.10,3.90,2.15,0.43,6,6936
3db1,5.95173,3.46708,3.29526,2.32151,0.468205,192,5.50,3.30,3.10,2.26,0.46,138,33612
3dgq,5.41943,5.11407,4.65852,2.57987,0.521461,42,5.30,4.90,4.50,2.57,0.52,20,13108
3dj8,9.25918,4.67943,4.67943,2.44088,0.494212,59,9.50,4.50,4.50,2.37,0.48,25,14286
3du7,36.205,4.81609,4.81609,4.02098,0.692969,688,35.90,4.70,4.50,3.82,0.68,1674,86868
3dv0,5.35147,5.34298,4.27368,2.38123,0.481543,242,5.10,4.90,4.10,1.82,0.33,217,43342
3e1m,16.9498,15.5772,15.5772,3.48567,0.645816,749,16.70,15.10,15.10,3.48,0.65,3530,124608
3e1n,16.3758,15.1411,15.1411,3.51495,0.648767,722,16.10,14.90,14.70,3.47,0.65,3514,123360
3e1o,16.4135,14.9834,14.9834,3.50644,0.647914,581,16.30,14.70,14.50,3.46,0.65,3461,123360
3e1p,16.3141,14.97,14.97,3.45606,0.642782,646,16.30,14.70,14.70,3.45,0.64,3357,124608
3e22,33.6961,5.24076,5.24076,3.98115,0.689897,763,33.50,5.30,4.90,3.73,0.67,1815,85488
3e2w,24.435,6.67077,6.67077,3.50086,0.647353,318,24.30,6.10,6.10,3.08,0.60,265,39000
3e6s,8.48153,8.48153,7.03376,3.14956,0.60802,330,7.90,7.90,6.70,2.98,0.59,705,60120
3e79,4.76705,4.47706,3.34784,2.3849,0.48234,20,4.50,3.70,3.70,2.17,0.43,5,5942
3e8f,7.68166,3.46449,3.46449,2.5213,0.510344,57,7.50,3.30,3.30,2.44,0.50,16,11760
3ebq,5.01477,5.01477,4.28884,2.52165,0.510413,37,4.50,4.50,4.10,2.17,0.43,10,8952
3eii,4.96947,4.96947,4.96947,2.46814,0.499799,2046,4.50,4.50,4.50,2.49,0.51,18075,309696
3erz,10.2917,10.2917,6.68093,2.90001,0.574288,807,10.10,9.90,9.90,2.74,0.55,3532,134592
3es3,8.27578,8.27578,8.27578,3.1267,0.605153,919,8.50,8.50,8.50,2.95,0.58,3824,134592
3exo,15.5754,10.6095,3.39775,3.08801,0.600206,86,15.50,10.10,3.30,2.78,0.56,86,23408
3f9c,7.94906,5.05658,3.9893,2.45242,0.496593,125,7.70,5.10,3.70,2.40,0.49,70,23992
3fdz,4.72527,4.38469,3.75808,2.33507,0.471292,14,4.50,4.30,3.50,2.11,0.42,2,3680
3fkt,15.6929,11.273,3.0886,3.11961,0.604256,90,15.30,10.70,2.90,2.83,0.57,75,23064
3fm1,10.1616,8.62946,8.62946,3.00757,0.589513,39,9.50,8.10,8.10,2.91,0.58,14,9444
3ftu,6.40972,6.12663,6.12663,2.43221,0.492409,97,5.90,5.50,4.90,2.41,0.49,41,19376
3ftv,6.64094,5.95672,5.95672,2.45254,0.496617,83,5.70,5.50,5.50,2.43,0.50,44,19412
3ftw,6.59625,6.16899,6.16899,2.462,0.498552,60,5.90,5.30,5.30,2.44,0.50,42,19412
3ftx,6.67206,6.14598,6.14598,2.47275,0.500731,85,5.90,5.30,5.10,2.45,0.50,41,19412
3fty,6.60438,6.26442,6.26442,2.45797,0.497729,84,6.10,5.50,5.10,2.43,0.50,46,19376
3ftz,6.65426,6.44908,6.44908,2.46414,0.498987,87,6.10,5.70,5.30,2.44,0.50,44,19376
3fu0,6.67926,6.0045,6.0045,2.46295,0.498744,95,5.90,5.70,5.50,2.44,0.50,44,19412
3fu3,6.14656,5.92841,5.92841,2.44151,0.494343,89,6.10,5.70,5.50,2.42,0.49,44,19376
3fu5,6.67693,6.16513,6.16513,2.47717,0.501622,89,6.10,5.50,5.30,2.45,0.50,45,19376
3fu6,6.92818,6.63194,6.63194,2.46204,0.498558,88,6.10,5.30,5.30,2.44,0.50,50,19376
3fud,6.50339,6.05193,6.05193,2.44992,0.496078,63,5.90,5.50,5.10,2.43,0.49,45,19376
3fue,6.35003,5.89458,5.89458,2.44413,0.494885,94,5.50,5.50,5.50,2.43,0.49,43,19412
3fuf,6.30323,6.05792,6.05792,2.47246,0.500672,86,5.90,5.50,5.50,2.45,0.50,44,19412
3fuh,6.56896,6.53779,6.53779,2.47437,0.501058,90,6.30,5.50,5.30,2.45,0.50,45,19408
3fui,6.79044,6.00069,6.00069,2.46032,0.498208,88,6.30,5.90,5.30,2.44,0.50,42,19384
3fuj,6.50882,6.12305,6.12305,2.48775,0.50374,84,5.70,5.30,5.30,2.46,0.50,44,19376
3fuk,6.61682,6.00927,6.00927,2.47046,0.500269,87,6.30,5.50,5.30,2.46,0.50,44,19444
