pdb,lifesoaks_1d,lifesoaks_2d,lifesoaks_3d,lifesoaks_mc,lifesoaks_sc,mapchannels_1d,mapchannels_2d,mapchannels_3d,mapchannels_mc,mapchannels_sc
2gue,4.50258,4.05609,3.11745,2.09081,0.409528,4.10,3.90,3.10,2.08,0.41
2ho7,14.1669,6.29049,4.16477,2.86327,0.568826,13.90,6.10,3.90,2.73,0.70
2hol,6.66504,4.4959,4.4959,2.46954,0.500081,5.90,4.10,3.90,2.35,0.65
2i4z,7.41963,7.41963,3.63372,2.60448,0.525982,7.10,7.10,3.50,2.47,0.50
2i5r,2.34962,2.30056,2.30056,1.91143,0.354113,2.10,1.90,1.90,1.84,0.33
2icx,4.25225,4.01404,3.76057,2.45123,0.496347,4.10,3.90,2.90,2.39,0.49
2icy,4.49423,3.86251,3.5583,1.21891,-0.0128437,4.30,4.30,2.70,2.39,0.49
2if8,43.5058,7.7624,7.7624,4.1673,0.703749,43.70,7.50,7.30,2.98,0.59
2il4,4.51307,4.00684,3.29546,2.55285,0.516396,4.10,4.10,2.90,2.24,0.45
2imp,28.0276,11.2362,11.2362,3.09983,0.60173,28.30,9.70,9.70,3.09,0.60
2ine,3.75407,3.68851,2.93669,2.15698,0.427639,3.50,3.50,2.50,2.15,0.43
2inz,3.68372,3.45852,2.9218,2.1577,0.427831,3.30,3.10,2.30,2.16,0.43
2ipw,4.75505,3.82208,3.13278,2.18132,0.434026,4.30,3.50,2.90,2.14,0.43
2iq0,3.62427,3.52233,2.91963,2.15836,0.428007,3.30,3.30,2.30,2.15,0.43
2iqd,3.64536,3.51326,2.89252,2.15737,0.427744,3.30,3.30,2.30,2.16,0.43
2is7,3.47208,3.28581,2.94361,2.16454,0.429639,3.30,3.30,2.30,2.16,0.43
2isf,3.57307,3.57281,2.86229,2.16496,0.42975,3.50,3.30,2.30,2.16,0.43
2izi,9.11104,9.11104,9.11104,3.01493,0.590516,8.90,8.90,8.90,2.99,0.59
2izj,9.76104,9.76104,9.76104,3.0316,0.592767,9.70,9.50,9.50,3.01,0.59
2izk,8.76979,8.76979,8.76979,2.83731,0.56488,8.30,8.10,8.10,2.84,0.57
2j07,10.5523,6.91416,6.91416,2.68756,0.540636,10.70,6.30,6.10,2.68,0.54
2j08,11.5581,6.72906,6.72906,2.68756,0.540636,11.10,6.10,5.90,2.68,0.54
2j09,10.5897,6.87786,6.87786,2.67633,0.538709,11.50,6.30,6.10,2.67,0.54
2j40,8.72329,8.72329,6.07319,2.44623,0.495318,8.70,8.50,5.50,2.44,0.50
2j5n,8.07315,8.07315,6.19415,2.4735,0.500882,7.90,7.70,5.90,2.47,0.50
2jbo,33.8822,33.8822,33.8822,4.99057,0.75262,33.30,33.30,33.30,4.53,0.73
2jd7,40.1153,9.82818,9.82818,4.12191,0.700486,39.50,9.90,9.70,3.97,0.69
2jd8,39.8906,9.8436,9.8436,4.12567,0.70076,39.50,9.70,9.70,3.97,0.69
2jdm,5.34241,4.11461,3.5131,2.25095,0.451535,5.30,3.90,3.30,2.23,0.45
2jdn,5.07365,4.05003,3.51249,2.22773,0.445819,5.50,3.50,3.30,2.20,0.44
2jff,11.5594,6.6203,6.6203,3.09315,0.60087,11.30,10.30,10.10,3.00,0.59
2jfh,11.8115,6.92338,6.92338,3.15126,0.608231,11.30,10.10,9.90,3.04,0.60
2jkj,6.32615,6.0864,6.0864,2.67773,0.538951,6.10,5.70,5.50,2.46,0.50
2jkl,6.17486,5.84326,5.84326,2.67719,0.538858,5.90,5.90,5.50,2.46,0.50
2jln,18.8547,17.9601,17.9601,4.88802,0.74743,18.30,17.50,17.10,4.53,0.73
2ntr,15.5809,11.3918,3.11907,3.0155,0.590593,15.10,11.10,2.90,2.82,0.56
2nun,35.6453,4.16587,4.16587,4.10576,0.699309,35.10,4.10,3.70,3.85,0.68
2o7q,17.1214,5.24401,5.24401,2.83472,0.564483,16.70,5.10,4.70,2.74,0.55
2o7s,17.4382,5.10885,5.10885,2.90678,0.57528,16.70,4.90,4.70,2.80,0.56
2oa1,16.9391,16.9391,16.9391,3.66105,0.662783,16.70,16.70,16.50,3.51,0.65
2oah,12.1123,10.8212,3.11479,3.01613,0.590678,11.70,10.70,3.10,2.82,0.56
2oar,49.5082,23.6572,23.6572,8.17847,0.849047,49.30,23.30,23.10,5.85,0.79
2oro,6.99908,6.51018,6.51018,2.99511,0.587806,6.70,6.30,5.90,2.41,0.49
2orp,10.0372,7.41166,7.41166,3.10093,0.601872,9.50,7.10,6.70,2.41,0.49
2orq,8.79153,7.59556,7.59556,3.12286,0.604668,8.50,7.30,6.90,2.39,0.49
2orr,10.1014,7.61641,7.61641,3.23588,0.618475,9.70,7.10,6.90,2.42,0.49
2ors,8.39171,7.82061,7.82061,3.32197,0.628363,8.10,7.50,7.50,2.47,0.50
2ort,7.39125,6.96681,6.78566,3.10124,0.601912,6.90,6.70,6.30,2.37,0.48
2oun,4.69485,4.05119,3.37839,2.17151,0.43147,4.30,3.70,2.90,2.14,0.43
2ouq,5.05133,4.73676,3.24494,2.17806,0.43318,4.90,4.10,2.90,2.09,0.41
2ouu,3.90837,3.75542,3.54623,2.0775,0.405744,4.10,3.30,2.70,2.01,0.39
2ouy,4.33703,3.98015,3.27339,2.14275,0.423838,4.10,3.90,2.90,2.07,0.41
2p1x,4.53002,2.79587,2.79587,2.2462,0.450375,3.90,2.90,2.90,2.24,0.45
2p4j,8.02218,6.70644,6.70644,2.83114,0.563933,7.50,6.90,4.70,2.83,0.57
2p8h,15.1343,11.0545,3.15831,2.99851,0.588272,14.70,11.10,3.10,2.81,0.56
2pgn,10.547,8.27496,8.27496,2.18476,0.434918,9.70,7.90,7.90,2.17,0.44
2ph6,15.5744,10.7055,2.9763,3.04408,0.594436,15.30,10.50,2.90,2.79,0.56
2ph8,16.2824,11.2437,2.98641,3.13303,0.605951,15.70,10.70,2.90,2.82,0.56
2pri,8.85941,6.72079,6.72079,2.50227,0.506621,8.50,6.30,5.30,2.47,0.50
2psy,13.9467,3.86589,3.86589,3.19202,0.613233,13.70,5.70,5.50,3.24,0.62
2put,7.63522,6.71037,4.40768,2.55401,0.516616,7.50,5.90,4.30,2.40,0.49
2puv,7.87209,6.52474,4.66713,2.56839,0.519323,7.70,6.10,4.50,2.41,0.49
2q0f,5.99416,3.87525,2.82535,2.45784,0.497702,4.90,4.10,3.70,2.24,0.45
2q0g,6.79301,3.69687,3.13192,2.47588,0.501362,6.50,3.70,3.30,2.28,0.46
2q1t,6.93961,6.93961,5.75506,2.50189,0.506546,6.70,6.70,5.50,2.21,0.44
2q6v,28.7937,14.9137,14.9137,4.35584,0.716572,28.10,14.70,14.70,3.99,0.69
2q7u,3.8266,2.73772,2.73772,2.08479,0.407821,3.30,2.50,2.50,1.84,0.33
2qfe,5.74267,5.74267,5.74267,2.38214,0.48174,5.70,5.70,5.30,2.23,0.45
2qtz,5.69166,5.5411,4.61988,2.6097,0.526932,5.30,4.50,4.30,2.18,0.44
2qw1,15.0561,10.1307,10.1307,3.55178,0.652409,14.50,9.90,9.70,3.50,0.65
2qyq,3.47114,3.07702,2.29311,2.01238,0.386515,2.90,2.90,2.10,2.00,0.39
2qzk,15.2759,11.1562,3.01171,3.01719,0.590822,14.70,10.70,3.10,2.80,0.56
2qzl,15.608,10.8853,3.07651,3.07121,0.59802,15.30,10.30,2.90,2.80,0.56
2r0g,8.33401,5.85216,5.85216,2.73419,0.548471,7.70,5.90,4.10,2.59,0.53
2r0p,7.19797,5.54765,5.54765,2.66681,0.537062,6.50,5.30,5.30,2.50,0.51
2rbk,7.39102,2.75449,2.75449,2.27469,0.457259,6.90,2.50,2.50,2.27,0.46
2rd6,3.03661,3.03661,2.88435,2.25863,0.4534,3.30,2.90,2.70,2.26,0.46
2rfh,3.08438,2.81768,2.00926,1.8739,0.341176,2.90,2.70,1.90,1.87,0.34
2rh9,8.20822,5.54519,5.09323,2.60111,0.525369,7.90,5.30,4.70,2.54,0.52
2rhg,9.7936,5.82407,5.82407,2.77257,0.55472,9.30,5.50,5.50,2.57,0.52
2uuo,11.7235,7.25673,7.25673,3.11423,0.603573,11.30,9.90,9.70,3.00,0.59
2uup,11.7645,6.52849,6.52849,3.09445,0.601038,11.30,9.90,9.90,3.05,0.60
2v2e,9.45258,9.08209,9.08209,3.09445,0.601038,9.10,8.90,8.70,3.06,0.60
2v96,12.6803,9.92512,9.92512,2.89266,0.573207,13.10,9.70,9.70,2.87,0.57
2v97,13.1563,9.55787,9.55787,2.92487,0.577906,13.30,9.50,9.30,2.90,0.58
2v98,13.262,9.69608,9.69608,2.95351,0.581999,13.10,9.50,9.50,2.93,0.58
2vb8,11.5316,7.86018,7.6104,2.55547,0.516892,11.30,7.50,5.30,2.54,0.52
2vba,12.8954,7.97378,7.71602,2.57065,0.519745,12.90,7.50,5.70,2.56,0.52
2vd9,5.46287,5.35642,4.01341,2.31547,0.466818,5.50,4.90,3.70,2.33,0.47
2vhb,9.21286,4.87436,4.87436,2.58631,0.522653,8.90,4.70,1.90,2.41,0.49
2vin,3.48193,2.83151,2.14943,2.06339,0.40168,3.50,3.10,1.90,2.03,0.39
2vio,3.4789,2.7166,1.97377,2.0715,0.404022,3.30,2.70,2.10,2.03,0.40
2vip,3.48481,3.01061,2.3301,2.0708,0.403821,3.50,2.90,2.30,2.03,0.40
2viq,3.48445,2.56068,1.95424,2.06042,0.400818,3.30,2.70,1.90,2.02,0.39
2viv,3.47717,3.0683,2.00514,2.07342,0.404573,3.30,2.90,1.90,2.04,0.40
2viw,3.44709,2.6846,2.10166,2.04202,0.395419,3.30,2.70,1.90,2.01,0.39
2vja,13.7329,9.40745,9.40745,3.08873,0.6003,13.50,9.10,9.10,3.07,0.60
2vjb,13.7415,9.44164,9.44164,3.09582,0.601215,13.90,9.10,9.10,3.08,0.60
2vjc,13.6502,9.37074,9.37074,3.08718,0.600098,13.50,9.10,9.10,3.07,0.60
2vjd,13.6401,9.39421,9.39421,3.09673,0.601332,13.50,9.10,9.10,3.08,0.60
2vp3,7.91288,7.91288,3.81213,2.95017,0.581526,7.70,6.90,3.70,2.71,0.55
2vtd,11.7153,6.07019,6.07019,3.07007,0.597869,11.10,9.50,9.50,2.99,0.59
2vte,11.1721,6.0912,6.0912,3.12912,0.605458,11.10,9.90,9.90,3.05,0.60
2vuc,5.0449,4.07181,3.4494,2.22156,0.444278,5.30,3.50,3.30,2.22,0.45
2vud,5.18028,3.96089,3.63473,2.28761,0.460324,5.50,3.90,3.50,2.29,0.46
2vuk,8.22556,6.19759,3.47228,2.7761,0.555287,7.90,6.10,3.50,2.49,0.51
2w41,7.56906,4.97124,4.55586,2.57608,0.520757,7.50,5.10,4.50,2.57,0.52
2w6c,32.1809,5.88314,5.88314,4.13363,0.701335,32.30,7.30,7.10,3.79,0.68
2w95,7.75689,7.49159,4.8135,2.51787,0.509677,7.50,7.10,4.70,2.51,0.51
2wg2,30.4819,6.59525,6.59525,4.03281,0.693869,31.10,7.50,7.30,4.05,0.70
2wyw,5.83125,4.34934,3.22642,2.0892,0.409072,5.70,3.90,2.90,2.07,0.41
2x0q,4.53984,4.09786,3.58765,2.14713,0.425015,4.50,3.90,3.30,2.03,0.40
2x0u,8.21011,6.19722,3.39858,2.78743,0.557095,7.90,6.10,3.10,2.49,0.51
2x0v,7.98034,6.19456,3.46028,2.8053,0.559915,7.70,6.10,3.30,2.49,0.51
2x0w,8.10779,6.17285,3.46611,2.77435,0.555007,7.90,6.10,3.30,2.48,0.50
2x3l,4.0621,3.86439,3.54792,2.10624,0.413853,3.70,3.50,3.30,2.00,0.38
2x6b,13.1768,13.1768,9.85989,3.78538,0.673859,13.10,13.10,9.90,3.60,0.66
2x6c,14.2987,14.2987,13.8882,4.2529,0.709712,14.10,14.10,13.90,3.74,0.67
2x6f,32.1282,10.4899,10.1053,4.21489,0.707093,31.70,9.90,9.50,3.37,0.64
2x6i,31.5405,9.85663,9.39594,4.19508,0.70571,30.90,9.30,9.10,3.38,0.64
2x6j,30.7872,10.4144,10.4144,4.11883,0.700262,30.10,9.90,9.90,3.31,0.63
2x6k,32.142,9.86724,9.86724,4.14055,0.701835,31.70,9.70,9.50,3.36,0.63
2xal,5.0714,4.19834,4.19834,2.34016,0.472442,4.50,4.30,4.10,2.20,0.44
2xcu,6.84104,5.40963,3.42033,2.58083,0.521639,6.50,4.90,3.30,2.42,0.49
2xgx,11.1827,9.70447,9.70447,3.68289,0.664782,10.70,10.30,9.10,3.53,0.65
2xi4,13.0756,9.22185,9.22185,3.05794,0.596275,12.90,9.10,9.10,3.05,0.60
2xvb,8.55685,8.16638,1.99275,2.54635,0.515162,8.10,7.90,2.10,2.54,0.52
2xwy,7.01099,5.95257,3.41019,2.66432,0.53663,6.70,5.70,3.50,2.51,0.51
2yc3,5.57663,5.57663,5.57663,2.43185,0.492334,5.10,4.90,4.70,2.32,0.47
2yc5,5.42843,5.42843,5.42843,2.46198,0.498547,5.10,5.10,4.50,2.34,0.47
2ycm,6.44037,6.44037,6.44037,2.53255,0.51252,6.30,6.30,5.70,2.37,0.48
2yf3,12.3377,4.06189,4.06189,3.215,0.615998,11.70,3.50,3.50,3.15,0.61
2yi9,16.3437,10.1311,6.86775,3.49201,0.646459,15.70,8.50,6.30,3.36,0.63
2ynb,8.45759,5.6154,5.6154,2.43908,0.493839,7.90,5.10,5.10,2.44,0.50
2yzv,3.6678,3.39629,3.39629,2.03655,0.393796,3.50,3.10,2.90,1.92,0.36
2zo5,28.3495,28.3495,28.3495,4.73956,0.739518,26.90,26.90,26.90,5.04,0.76
2zxp,7.46931,7.46931,7.46931,3.04348,0.594356,7.30,7.30,7.10,2.96,0.58
2zxr,7.74037,7.74037,7.74037,3.23426,0.618284,7.90,7.70,7.70,2.99,0.59
3a16,7.00758,5.0367,4.81377,2.29179,0.461309,6.50,4.90,4.30,2.17,0.43
3ai3,5.36948,3.89858,3.70362,2.08909,0.40904,4.90,3.30,2.90,2.09,0.41
3ak9,6.48795,6.08616,5.1583,2.30277,0.463877,6.10,5.70,5.10,2.15,0.43
3b4p,6.0244,6.0244,5.5856,2.60567,0.526199,6.10,5.10,5.10,2.24,0.45
3b99,6.10453,4.61093,4.61093,2.46486,0.499132,5.90,4.30,3.90,2.23,0.45
3bam,8.52754,6.26038,6.26038,2.60806,0.526633,7.90,6.30,5.90,2.53,0.52
3bca,12.0589,4.97306,2.55187,2.96817,0.584065,11.90,5.10,2.50,2.92,0.58
3bk2,8.40876,8.01962,7.44133,2.67414,0.53833,8.10,7.50,6.30,2.65,0.54
3bts,9.10201,7.57186,4.5608,2.76563,0.553604,9.10,7.30,4.30,2.38,0.48
3bud,8.83602,3.5062,3.5062,2.24422,0.449889,9.30,3.10,2.50,2.18,0.44
3bup,8.94462,3.43417,3.43417,2.24008,0.448872,9.50,2.90,2.50,2.18,0.44
3buq,8.89825,3.39377,3.39377,2.23721,0.448165,9.50,2.90,2.50,2.18,0.44
3cev,9.82627,9.82627,8.66759,2.67805,0.539005,9.50,9.50,6.70,2.66,0.54
3cfn,8.57257,2.71212,2.21815,2.36286,0.477511,8.30,2.50,2.50,2.29,0.46
3cfq,8.37359,2.52865,2.47816,2.3252,0.469049,7.90,2.70,2.30,2.26,0.46
3cgd,12.3022,8.81243,8.81243,3.3083,0.626827,12.30,8.30,8.30,3.06,0.60
3cge,12.3356,8.68566,8.68566,3.33012,0.629272,12.50,8.50,8.30,3.08,0.60
3cht,4.61694,4.3949,3.24993,2.30874,0.465263,4.90,3.50,2.90,2.07,0.41
3cnm,5.97861,5.89408,5.89408,2.66861,0.537374,5.90,5.10,5.10,2.30,0.46
3co9,5.01204,3.42508,3.34995,2.31448,0.466589,4.70,4.30,3.10,2.24,0.45
3cog,8.48164,7.91261,7.91261,2.55197,0.516229,7.90,7.70,7.50,2.44,0.50
3cow,4.80122,3.97127,3.42565,2.35249,0.475207,4.30,3.90,3.30,2.21,0.44
3coy,4.77623,3.82901,3.66649,2.37294,0.47973,4.30,3.70,3.30,2.21,0.44
3coz,5.00836,3.9735,3.70586,2.3592,0.476701,4.70,3.90,3.50,2.22,0.45
3cv3,28.3559,14.6616,14.6616,4.36025,0.716859,27.70,14.50,14.30,3.99,0.69
3cvk,4.63291,3.7583,3.3887,2.34095,0.472621,4.30,4.30,3.10,2.25,0.45
3cwb,20.4801,17.4378,17.4378,4.28479,0.711872,20.30,17.30,17.30,4.18,0.71
3cwh,11.6234,8.36413,7.37126,2.85395,0.567419,11.90,8.10,6.90,2.84,0.57
3d1i,28.7629,28.7629,28.7629,4.76786,0.741065,27.10,27.10,27.10,5.07,0.76
3d2t,8.47912,4.28697,2.43249,2.41164,0.488079,8.10,4.10,3.90,2.15,0.43
3db1,5.95173,3.46708,3.29526,2.32151,0.468205,5.50,3.30,3.10,2.26,0.46
3dgq,5.41943,5.11407,4.65852,2.57987,0.521461,5.30,4.90,4.50,2.57,0.52
3dj8,9.25918,4.67943,4.67943,2.44088,0.494212,9.50,4.50,4.50,2.37,0.48
3du7,36.205,4.81609,4.81609,4.02098,0.692969,35.90,4.70,4.50,3.82,0.68
3dv0,5.35147,5.34298,4.27368,2.38123,0.481543,5.10,4.90,4.10,1.82,0.33
3e1m,16.9498,15.5772,15.5772,3.48567,0.645816,16.70,15.10,15.10,3.48,0.65
3e1n,16.3758,15.1411,15.1411,3.51495,0.648767,16.10,14.90,14.70,3.47,0.65
3e1o,16.4135,14.9834,14.9834,3.50644,0.647914,16.30,14.70,14.50,3.46,0.65
3e1p,16.3141,14.97,14.97,3.45606,0.642782,16.30,14.70,14.70,3.45,0.64
3e22,33.6961,5.24076,5.24076,3.98115,0.689897,33.50,5.30,4.90,3.73,0.67
3e2w,24.373,6.67077,6.67077,3.50086,0.647353,24.30,6.10,6.10,3.08,0.60
3e6s,8.48153,8.48153,7.03376,3.14956,0.60802,7.90,7.90,6.70,2.98,0.59
3e79,4.76705,4.47706,3.34784,2.3849,0.48234,4.50,3.70,3.70,2.17,0.43
3e8f,7.68166,3.46449,3.46449,2.5213,0.510344,7.50,3.30,3.30,2.44,0.50
3ebq,5.01477,5.01477,4.28884,2.52165,0.510413,4.50,4.50,4.10,2.17,0.43
3eii,4.96947,4.96947,4.96947,2.46814,0.499799,4.50,4.50,4.50,2.49,0.51
3erz,10.2917,10.2917,6.68093,2.90001,0.574288,10.10,9.90,9.90,2.74,0.55
3es3,8.27578,8.27578,8.27578,3.1267,0.605153,8.50,8.50,8.50,2.95,0.58
3exo,15.5754,10.6095,3.39775,3.08801,0.600206,15.50,10.10,3.30,2.78,0.56
3f9c,7.94906,5.05658,3.9893,2.45242,0.496593,7.70,5.10,3.70,2.40,0.49
3fdz,4.72527,4.38469,3.75808,2.33507,0.471292,4.50,4.30,3.50,2.11,0.42
3fkt,15.6929,11.273,3.0886,3.11961,0.604256,15.30,10.70,2.90,2.83,0.57
3fm1,10.1616,8.62946,8.62946,3.00757,0.589513,9.50,8.10,8.10,2.91,0.58
3ftu,6.40972,6.12663,6.12663,2.43221,0.492409,5.90,5.50,4.90,2.41,0.49
3ftv,6.64094,5.95672,5.95672,2.45254,0.496617,5.70,5.50,5.50,2.43,0.50
3ftw,6.59625,6.16899,6.16899,2.462,0.498552,5.90,5.30,5.30,2.44,0.50
3ftx,6.67206,6.14598,6.14598,2.47275,0.500731,5.90,5.30,5.10,2.45,0.50
3fty,6.60438,6.26442,6.26442,2.45797,0.497729,6.10,5.50,5.10,2.43,0.50
3ftz,6.65426,6.44908,6.44908,2.46414,0.498987,6.10,5.70,5.30,2.44,0.50
3fu0,6.67926,6.0045,6.0045,2.46295,0.498744,5.90,5.70,5.50,2.44,0.50
3fu3,6.14656,5.92841,5.92841,2.44151,0.494343,6.10,5.70,5.50,2.42,0.49
3fu5,6.67693,6.16513,6.16513,2.47717,0.501622,6.10,5.50,5.30,2.45,0.50
3fu6,6.92818,6.63194,6.63194,2.46204,0.498558,6.10,5.30,5.30,2.44,0.50
3fud,6.50339,6.05193,6.05193,2.44992,0.496078,5.90,5.50,5.10,2.43,0.49
3fue,6.35003,5.89458,5.89457,2.44413,0.494885,5.50,5.50,5.50,2.43,0.49
3fuf,6.30323,6.05792,6.05792,2.47246,0.500672,5.90,5.50,5.50,2.45,0.50
3fuh,6.56896,6.53779,6.53779,2.47437,0.501058,6.30,5.50,5.30,2.45,0.50
3fui,6.79044,6.00069,6.00069,2.46032,0.498208,6.30,5.90,5.30,2.44,0.50
3fuj,6.50882,6.12305,6.12305,2.48775,0.50374,5.70,5.30,5.30,2.46,0.50
3fuk,6.61682,6.00927,6.00927,2.47046,0.500269,6.30,5.50,5.30,2.46,0.50
3ful,6.58701,6.04952,6.04952,2.48069,0.502329,6.10,5.90,5.50,2.45,0.50
3fum,6.71481,6.05836,6.05836,2.47132,0.500442,6.30,5.90,5.30,2.44,0.50
3fun,6.71804,6.36572,6.36572,2.47832,0.501854,6.10,5.70,5.10,2.45,0.50
3fw0,6.63388,4.85514,4.85514,2.56631,0.518932,6.50,4.70,4.10,2.56,0.52
3fxu,8.84351,5.19088,5.19088,2.89299,0.573255,8.70,4.90,4.70,2.66,0.54
3fyi,20.8001,19.6474,19.6474,4.11278,0.699822,20.50,18.90,18.90,3.90,0.69
3g0a,6.50457,5.52177,5.52177,2.46385,0.498928,5.90,5.30,5.30,2.38,0.48
3g4f,8.55239,8.55239,8.55239,2.76212,0.553037,7.30,7.30,7.30,2.57,0.52
3g86,4.64071,3.42652,3.35043,2.33601,0.471507,4.30,4.30,3.30,2.26,0.46
3gb4,9.30109,9.30109,4.45443,2.75318,0.551584,8.90,7.30,4.10,2.67,0.54
3gjw,3.16297,3.16297,2.4867,2.22963,0.446289,2.90,2.90,2.70,2.23,0.45
3glz,9.37468,2.70941,2.19425,2.31531,0.46678,9.50,2.70,2.70,2.06,0.40
3gmc,12.2621,11.9915,11.9915,3.30034,0.625928,12.10,11.90,11.70,2.94,0.58
3gmz,8.35277,4.64647,4.64647,2.40929,0.48758,8.70,4.70,4.30,2.35,0.48
3gn7,2.87021,2.87021,2.52549,2.24079,0.449047,2.90,2.90,2.90,2.24,0.45
3gnx,7.81339,7.23178,3.6473,2.38828,0.483073,7.70,6.90,3.90,2.37,0.48
3gob,9.48504,9.48504,4.05759,2.70648,0.543847,8.90,7.10,3.30,2.63,0.53
3gqa,24.7124,24.7124,17.6391,3.55916,0.65313,24.30,24.30,17.30,3.52,0.65
3gqt,5.41382,5.30264,5.30264,2.25948,0.453606,4.90,4.90,4.70,2.16,0.43
3grt,6.43397,6.43397,5.13808,2.7554,0.551946,6.10,5.50,4.90,2.75,0.55
3gs0,9.09278,2.61238,2.38283,2.42706,0.491332,8.50,2.70,2.50,2.21,0.44
3gs4,8.90396,3.7817,2.46948,2.40718,0.48713,8.50,3.50,3.50,2.18,0.44
3gs7,8.63464,2.82682,1.96758,2.27762,0.457956,8.10,2.90,2.90,2.07,0.41
3gsb,8.58098,7.06829,7.06829,2.52644,0.511341,8.30,6.50,6.30,2.50,0.51
3gx9,23.068,9.33021,5.6519,3.44029,0.641144,22.30,9.50,5.10,3.32,0.63
3gxf,24.4394,5.69899,5.52689,3.23004,0.617786,23.90,6.50,5.30,3.24,0.62
3gxo,6.99573,6.93283,6.93283,2.53509,0.513008,6.70,6.50,6.10,2.34,0.47
3gyn,4.55774,3.45748,3.45748,2.33827,0.472016,4.30,3.90,3.30,2.25,0.45
3h0b,8.92318,7.23036,7.23036,3.05788,0.596266,7.90,6.90,6.70,2.81,0.56
3h0r,8.88524,8.81554,6.87304,2.86734,0.569438,8.30,8.10,6.50,2.67,0.54
3h1y,5.01715,3.55841,2.6814,2.16836,0.430645,4.50,2.90,2.30,2.16,0.43
3heo,14.6132,4.40557,2.45143,2.97534,0.585067,14.10,4.50,2.30,2.97,0.59
3hep,14.9332,4.647,2.45683,3.06366,0.597028,14.30,4.70,2.10,3.06,0.60
3hl8,4.54909,4.36453,4.25193,2.50877,0.5079,4.50,4.10,4.10,2.37,0.48
3hp9,4.69861,4.37941,4.37941,2.39871,0.485321,4.30,3.90,3.70,2.25,0.45
3i11,4.87112,4.87112,4.06619,2.38399,0.482142,4.50,4.30,3.90,2.26,0.46
3ifc,14.4523,12.1628,11.7928,3.29586,0.625419,14.30,11.90,11.50,3.13,0.61
3igv,4.69359,3.4086,3.37821,2.35113,0.474905,4.50,4.10,3.10,2.26,0.46
3ij4,16.3635,11.9388,11.9388,4.30894,0.713487,16.10,11.90,11.70,3.75,0.67
3ikd,4.77756,3.72465,2.98737,2.12678,0.419513,4.30,3.30,2.70,1.95,0.37
3ikg,4.27665,3.89906,3.19938,2.1482,0.425301,4.10,3.50,2.90,2.00,0.38
3inr,16.5487,6.44968,6.44967,3.21753,0.6163,16.10,8.70,8.50,3.13,0.61
3int,16.6804,6.65541,6.65541,3.27458,0.622985,16.10,8.90,8.90,3.17,0.61
3it6,10.1362,7.65361,7.65361,2.93556,0.579444,9.70,7.50,7.30,2.89,0.58
3iuq,12.0981,5.48234,5.48234,2.98787,0.586807,11.90,5.30,4.70,2.89,0.57
3ivm,12.2439,5.30255,5.30255,2.88219,0.571657,11.90,5.10,5.10,2.87,0.57
3jum,5.88475,5.78549,5.78549,2.61649,0.528159,5.90,5.30,5.30,2.25,0.45
3jun,5.91608,5.91608,5.81108,2.71009,0.544455,5.50,5.50,5.50,2.26,0.46
3juo,6.02189,5.68569,5.68569,2.63329,0.531169,5.70,5.30,5.10,2.25,0.45
3jup,5.94036,5.94036,5.6084,2.63457,0.531397,5.70,5.10,5.10,2.26,0.46
3jw3,4.49299,4.49299,4.08379,2.45649,0.497426,4.30,4.10,3.50,2.40,0.49
3jw5,4.41307,4.41307,4.00431,2.42406,0.490703,4.10,4.10,3.50,2.37,0.48
3k14,10.1653,5.26816,5.26816,2.46479,0.499118,9.90,5.30,4.90,2.04,0.40
3k2h,7.00902,7.00902,4.89517,2.60767,0.526562,6.90,6.50,5.10,2.57,0.52
3k2x,10.2532,5.20575,5.20575,2.45814,0.497764,10.10,4.70,4.50,2.03,0.40
3k3e,23.1496,23.1496,23.1496,4.77774,0.7416,22.90,22.70,22.50,4.68,0.74
3k3h,23.4858,23.4858,23.4858,4.76924,0.741139,23.10,23.10,22.90,4.69,0.74
3kco,11.9054,7.7821,7.24039,2.78772,0.557141,12.10,7.50,6.90,2.78,0.56
3ke1,10.5213,4.81238,4.81238,2.4472,0.495519,10.30,4.30,4.30,1.98,0.38
3kl3,6.9999,5.51519,5.51519,2.51538,0.509193,6.90,6.50,5.10,2.40,0.49
3klc,4.05595,3.19859,3.19859,1.91734,0.356105,3.50,3.30,3.10,1.91,0.36
3km3,6.75208,6.75208,6.75208,2.74447,0.550162,6.70,6.50,6.50,2.12,0.42
3kvx,4.44337,4.44337,4.44337,2.29091,0.461103,4.30,3.90,2.70,2.09,0.41
3kyb,16.5279,6.4115,6.4115,3.20959,0.615351,16.10,6.30,6.10,3.13,0.61
3l3l,3.16211,3.16211,2.58992,2.24389,0.44981,2.90,2.90,2.70,2.24,0.45
3l3m,3.32534,2.74096,2.74096,2.26866,0.455817,3.50,2.70,2.50,2.25,0.45
3la9,3.9897,3.9897,3.9897,2.11039,0.415005,3.90,3.70,3.70,1.74,0.29
3lg1,27.6177,27.6177,27.6177,4.70278,0.737481,26.30,26.30,26.30,5.01,0.75
3lj9,5.99375,5.01945,3.45205,2.69938,0.542648,5.90,4.70,3.30,2.70,0.54
3ll4,9.91825,6.76173,6.76173,2.99035,0.587149,9.50,6.50,6.30,2.67,0.54
3lp4,9.82497,4.7062,4.7062,2.4448,0.495023,10.10,4.30,4.30,2.38,0.48
3lr0,7.87095,7.46265,7.46265,3.1802,0.611796,7.50,7.30,7.30,2.26,0.46
